text,department
road full of potholes,Roads
uneven road surface,Roads
traffic signal not working,Traffic
encroachment issue,Public Services
garbage not collected,Sanitation
water leakage problem,Water
water contamination issue,Water
road needs repair,Roads
signal timing issue,Traffic
dirty street needs cleaning,Sanitation
overflowing dustbins,Sanitation
garbage not collected,Sanitation
electric pole damaged,Electricity
no water supply,Water
street light not working,Electricity
noise complaint,Public Services
street dogs problem,Public Services
road full of potholes,Roads
road full of potholes,Roads
electric pole damaged,Electricity
overflowing dustbins,Sanitation
frequent power outage,Electricity
low water pressure,Water
encroachment issue,Public Services
road needs repair,Roads
road damaged badly,Roads
noise complaint,Public Services
electric pole damaged,Electricity
illegal parking issue,Traffic
water leakage problem,Water
water leakage problem,Water
water contamination issue,Water
traffic signal not working,Traffic
power cut in my area,Electricity
garbage not collected,Sanitation
encroachment issue,Public Services
garbage not collected,Sanitation
public toilet not clean,Public Services
electric pole damaged,Electricity
illegal parking issue,Traffic
garbage not collected,Sanitation
water leakage problem,Water
heavy traffic jam,Traffic
road full of potholes,Roads
noise complaint,Public Services
low water pressure,Water
encroachment issue,Public Services
park not maintained,Public Services
dirty street needs cleaning,Sanitation
waste piled up in street,Sanitation
noise complaint,Public Services
water contamination issue,Water
road damaged badly,Roads
road damaged badly,Roads
frequent power outage,Electricity
road needs repair,Roads
electric pole damaged,Electricity
pipeline broken,Water
dirty street needs cleaning,Sanitation
no water supply,Water
dirty street needs cleaning,Sanitation
garbage not collected,Sanitation
construction debris on road,Roads
no water supply,Water
pipeline broken,Water
water leakage problem,Water
sewage overflow near house,Sanitation
street light not working,Electricity
water leakage problem,Water
low water pressure,Water
sewage overflow near house,Sanitation
road full of potholes,Roads
no traffic control,Traffic
low voltage issue,Electricity
traffic signal not working,Traffic
signal timing issue,Traffic
street dogs problem,Public Services
no traffic control,Traffic
no traffic control,Traffic
encroachment issue,Public Services
park not maintained,Public Services
low water pressure,Water
garbage not collected,Sanitation
traffic signal not working,Traffic
no traffic control,Traffic
frequent power outage,Electricity
water contamination issue,Water
road needs repair,Roads
pipeline broken,Water
noise complaint,Public Services
road needs repair,Roads
noise complaint,Public Services
signal timing issue,Traffic
construction debris on road,Roads
sewage overflow near house,Sanitation
electric pole damaged,Electricity
low water pressure,Water
dirty street needs cleaning,Sanitation
garbage not collected,Sanitation
uneven road surface,Roads
power cut in my area,Electricity
water leakage problem,Water
encroachment issue,Public Services
public toilet not clean,Public Services
road full of potholes,Roads
garbage not collected,Sanitation
no traffic control,Traffic
road damaged badly,Roads
power cut in my area,Electricity
overflowing dustbins,Sanitation
low voltage issue,Electricity
electric pole damaged,Electricity
waste piled up in street,Sanitation
construction debris on road,Roads
low voltage issue,Electricity
electric pole damaged,Electricity
road needs repair,Roads
heavy traffic jam,Traffic
encroachment issue,Public Services
frequent power outage,Electricity
illegal parking issue,Traffic
frequent power outage,Electricity
road needs repair,Roads
noise complaint,Public Services
sewage overflow near house,Sanitation
garbage not collected,Sanitation
pipeline broken,Water
road needs repair,Roads
street dogs problem,Public Services
low water pressure,Water
uneven road surface,Roads
heavy traffic jam,Traffic
no traffic control,Traffic
public toilet not clean,Public Services
low water pressure,Water
construction debris on road,Roads
garbage not collected,Sanitation
power cut in my area,Electricity
overflowing dustbins,Sanitation
water contamination issue,Water
water contamination issue,Water
noise complaint,Public Services
electric pole damaged,Electricity
water leakage problem,Water
signal timing issue,Traffic
no traffic control,Traffic
construction debris on road,Roads
garbage not collected,Sanitation
pipeline broken,Water
no traffic control,Traffic
construction debris on road,Roads
traffic signal not working,Traffic
encroachment issue,Public Services
no traffic control,Traffic
park not maintained,Public Services
illegal parking issue,Traffic
dirty street needs cleaning,Sanitation
heavy traffic jam,Traffic
electric pole damaged,Electricity
road full of potholes,Roads
construction debris on road,Roads
noise complaint,Public Services
waste piled up in street,Sanitation
sewage overflow near house,Sanitation
electric pole damaged,Electricity
low water pressure,Water
no water supply,Water
public toilet not clean,Public Services
water contamination issue,Water
frequent power outage,Electricity
low water pressure,Water
road full of potholes,Roads
electric pole damaged,Electricity
noise complaint,Public Services
overflowing dustbins,Sanitation
power cut in my area,Electricity
overflowing dustbins,Sanitation
street light not working,Electricity
heavy traffic jam,Traffic
park not maintained,Public Services
park not maintained,Public Services
waste piled up in street,Sanitation
garbage not collected,Sanitation
dirty street needs cleaning,Sanitation
signal timing issue,Traffic
frequent power outage,Electricity
electric pole damaged,Electricity
illegal parking issue,Traffic
frequent power outage,Electricity
public toilet not clean,Public Services
electric pole damaged,Electricity
signal timing issue,Traffic
waste piled up in street,Sanitation
illegal parking issue,Traffic
street light not working,Electricity
no water supply,Water
street light not working,Electricity
public toilet not clean,Public Services
power cut in my area,Electricity
dirty street needs cleaning,Sanitation
road full of potholes,Roads
low voltage issue,Electricity
illegal parking issue,Traffic
noise complaint,Public Services
water leakage problem,Water
construction debris on road,Roads
construction debris on road,Roads
power cut in my area,Electricity
traffic signal not working,Traffic
street light not working,Electricity
heavy traffic jam,Traffic
heavy traffic jam,Traffic
electric pole damaged,Electricity
road full of potholes,Roads
low voltage issue,Electricity
frequent power outage,Electricity
low water pressure,Water
encroachment issue,Public Services
frequent power outage,Electricity
illegal parking issue,Traffic
street dogs problem,Public Services
road damaged badly,Roads
park not maintained,Public Services
waste piled up in street,Sanitation
pipeline broken,Water
public toilet not clean,Public Services
illegal parking issue,Traffic
overflowing dustbins,Sanitation
water leakage problem,Water
sewage overflow near house,Sanitation
signal timing issue,Traffic
power cut in my area,Electricity
frequent power outage,Electricity
garbage not collected,Sanitation
signal timing issue,Traffic
electric pole damaged,Electricity
heavy traffic jam,Traffic
pipeline broken,Water
heavy traffic jam,Traffic
low voltage issue,Electricity
sewage overflow near house,Sanitation
street light not working,Electricity
public toilet not clean,Public Services
heavy traffic jam,Traffic
heavy traffic jam,Traffic
waste piled up in street,Sanitation
road needs repair,Roads
construction debris on road,Roads
public toilet not clean,Public Services
electric pole damaged,Electricity
road needs repair,Roads
park not maintained,Public Services
no water supply,Water
noise complaint,Public Services
construction debris on road,Roads
overflowing dustbins,Sanitation
traffic signal not working,Traffic
street dogs problem,Public Services
dirty street needs cleaning,Sanitation
pipeline broken,Water
public toilet not clean,Public Services
road needs repair,Roads
road full of potholes,Roads
uneven road surface,Roads
public toilet not clean,Public Services
low water pressure,Water
water leakage problem,Water
road needs repair,Roads
sewage overflow near house,Sanitation
street dogs problem,Public Services
uneven road surface,Roads
uneven road surface,Roads
overflowing dustbins,Sanitation
pipeline broken,Water
heavy traffic jam,Traffic
illegal parking issue,Traffic
signal timing issue,Traffic
garbage not collected,Sanitation
road damaged badly,Roads
road damaged badly,Roads
overflowing dustbins,Sanitation
no water supply,Water
electric pole damaged,Electricity
pipeline broken,Water
dirty street needs cleaning,Sanitation
heavy traffic jam,Traffic
low voltage issue,Electricity
construction debris on road,Roads
street light not working,Electricity
no traffic control,Traffic
garbage not collected,Sanitation
road full of potholes,Roads
noise complaint,Public Services
noise complaint,Public Services
road damaged badly,Roads
construction debris on road,Roads
street light not working,Electricity
road full of potholes,Roads
waste piled up in street,Sanitation
sewage overflow near house,Sanitation
construction debris on road,Roads
waste piled up in street,Sanitation
power cut in my area,Electricity
waste piled up in street,Sanitation
dirty street needs cleaning,Sanitation
road damaged badly,Roads
public toilet not clean,Public Services
electric pole damaged,Electricity
garbage not collected,Sanitation
road full of potholes,Roads
traffic signal not working,Traffic
road damaged badly,Roads
sewage overflow near house,Sanitation
noise complaint,Public Services
illegal parking issue,Traffic
illegal parking issue,Traffic
street dogs problem,Public Services
road full of potholes,Roads
water contamination issue,Water
pipeline broken,Water
road full of potholes,Roads
public toilet not clean,Public Services
road full of potholes,Roads
pipeline broken,Water
water leakage problem,Water
power cut in my area,Electricity
traffic signal not working,Traffic
street light not working,Electricity
construction debris on road,Roads
street dogs problem,Public Services
low water pressure,Water
no traffic control,Traffic
power cut in my area,Electricity
street light not working,Electricity
water leakage problem,Water
water leakage problem,Water
road full of potholes,Roads
encroachment issue,Public Services
waste piled up in street,Sanitation
waste piled up in street,Sanitation
no traffic control,Traffic
signal timing issue,Traffic
uneven road surface,Roads
power cut in my area,Electricity
noise complaint,Public Services
garbage not collected,Sanitation
water contamination issue,Water
dirty street needs cleaning,Sanitation
no traffic control,Traffic
heavy traffic jam,Traffic
waste piled up in street,Sanitation
encroachment issue,Public Services
uneven road surface,Roads
noise complaint,Public Services
illegal parking issue,Traffic
park not maintained,Public Services
street dogs problem,Public Services
garbage not collected,Sanitation
low voltage issue,Electricity
traffic signal not working,Traffic
no water supply,Water
public toilet not clean,Public Services
frequent power outage,Electricity
park not maintained,Public Services
heavy traffic jam,Traffic
electric pole damaged,Electricity
street light not working,Electricity
water leakage problem,Water
road damaged badly,Roads
signal timing issue,Traffic
road damaged badly,Roads
no water supply,Water
frequent power outage,Electricity
road damaged badly,Roads
no traffic control,Traffic
water contamination issue,Water
signal timing issue,Traffic
park not maintained,Public Services
uneven road surface,Roads
heavy traffic jam,Traffic
illegal parking issue,Traffic
street light not working,Electricity
construction debris on road,Roads
waste piled up in street,Sanitation
water contamination issue,Water
no water supply,Water
noise complaint,Public Services
traffic signal not working,Traffic
construction debris on road,Roads
road needs repair,Roads
garbage not collected,Sanitation
low voltage issue,Electricity
no traffic control,Traffic
construction debris on road,Roads
encroachment issue,Public Services
park not maintained,Public Services
encroachment issue,Public Services
public toilet not clean,Public Services
street dogs problem,Public Services
power cut in my area,Electricity
power cut in my area,Electricity
road damaged badly,Roads
traffic signal not working,Traffic
dirty street needs cleaning,Sanitation
encroachment issue,Public Services
overflowing dustbins,Sanitation
low voltage issue,Electricity
road damaged badly,Roads
dirty street needs cleaning,Sanitation
noise complaint,Public Services
road needs repair,Roads
encroachment issue,Public Services
dirty street needs cleaning,Sanitation
no traffic control,Traffic
uneven road surface,Roads
waste piled up in street,Sanitation
dirty street needs cleaning,Sanitation
no traffic control,Traffic
road full of potholes,Roads
construction debris on road,Roads
traffic signal not working,Traffic
noise complaint,Public Services
construction debris on road,Roads
low water pressure,Water
uneven road surface,Roads
pipeline broken,Water
water contamination issue,Water
power cut in my area,Electricity
encroachment issue,Public Services
overflowing dustbins,Sanitation
street dogs problem,Public Services
signal timing issue,Traffic
waste piled up in street,Sanitation
traffic signal not working,Traffic
electric pole damaged,Electricity
public toilet not clean,Public Services
traffic signal not working,Traffic
park not maintained,Public Services
noise complaint,Public Services
dirty street needs cleaning,Sanitation
heavy traffic jam,Traffic
street dogs problem,Public Services
construction debris on road,Roads
street dogs problem,Public Services
waste piled up in street,Sanitation
water contamination issue,Water
waste piled up in street,Sanitation
public toilet not clean,Public Services
no water supply,Water
uneven road surface,Roads
traffic signal not working,Traffic
no water supply,Water
uneven road surface,Roads
road damaged badly,Roads
overflowing dustbins,Sanitation
frequent power outage,Electricity
garbage not collected,Sanitation
road full of potholes,Roads
road needs repair,Roads
no water supply,Water
overflowing dustbins,Sanitation
overflowing dustbins,Sanitation
electric pole damaged,Electricity
sewage overflow near house,Sanitation
signal timing issue,Traffic
low water pressure,Water
uneven road surface,Roads
heavy traffic jam,Traffic
uneven road surface,Roads
signal timing issue,Traffic
road full of potholes,Roads
low water pressure,Water
garbage not collected,Sanitation
low voltage issue,Electricity
pipeline broken,Water
illegal parking issue,Traffic
low voltage issue,Electricity
low water pressure,Water
electric pole damaged,Electricity
construction debris on road,Roads
no traffic control,Traffic
dirty street needs cleaning,Sanitation
waste piled up in street,Sanitation
uneven road surface,Roads
street light not working,Electricity
road damaged badly,Roads
dirty street needs cleaning,Sanitation
public toilet not clean,Public Services
water leakage problem,Water
no water supply,Water
traffic signal not working,Traffic
waste piled up in street,Sanitation
sewage overflow near house,Sanitation
road full of potholes,Roads
garbage not collected,Sanitation
road full of potholes,Roads
sewage overflow near house,Sanitation
road needs repair,Roads
waste piled up in street,Sanitation
waste piled up in street,Sanitation
